Rk,G,Date,Column1,Opp,W/L,Tm,Opp2,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,2,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF
1,1,2020-12-23,,WAS,W,113,107,41,87,.471,8,28,.286,23,30,.767,10,47,22,11,8,16,25,,39,85,.459,13,27,.481,16,23,.696,5,40,28,7,4,19,26
2,2,2020-12-26,@,NYK,W,109,89,41,88,.466,11,31,.355,16,22,.727,12,47,20,9,6,12,19,,32,83,.386,8,29,.276,17,23,.739,13,43,19,6,4,16,23
3,3,2020-12-27,@,CLE,L,94,118,33,79,.418,12,37,.324,16,22,.727,8,39,24,9,5,21,19,,48,91,.527,9,23,.391,13,16,.813,11,45,31,13,6,16,22
4,4,2020-12-29,,TOR,W,100,93,32,84,.381,8,31,.258,28,33,.848,9,54,21,10,10,18,15,,32,90,.356,17,45,.378,12,14,.857,10,47,21,12,7,19,28
5,5,2020-12-31,@,ORL,W,116,92,44,91,.484,15,33,.455,13,15,.867,7,54,23,7,10,14,23,,33,95,.347,7,28,.250,19,21,.905,10,48,17,2,5,11,15
6,6,2021-01-02,,CHO,W,127,112,47,79,.595,16,35,.457,17,24,.708,7,45,35,10,7,21,17,,38,92,.413,13,35,.371,23,26,.885,14,40,34,15,5,12,18
7,7,2021-01-04,,CHO,W,118,101,46,95,.484,11,32,.344,15,23,.652,14,55,34,7,5,10,21,,36,86,.419,13,39,.333,16,22,.727,8,47,30,4,4,16,24
8,8,2021-01-06,,WAS,W,141,136,50,81,.617,18,29,.621,23,33,.697,1,35,33,9,6,16,21,,47,94,.500,16,37,.432,26,35,.743,9,35,27,9,2,13,27
9,9,2021-01-07,@,BRK,L,109,122,41,87,.471,9,26,.346,18,20,.900,4,47,23,6,6,20,25,,44,97,.454,15,37,.405,19,29,.655,11,48,30,11,7,12,17
10,10,2021-01-09,,DEN,L,103,115,43,103,.417,11,35,.314,6,10,.600,20,48,23,8,4,16,19,,45,90,.500,12,33,.364,13,15,.867,15,45,28,11,7,17,12
11,11,2021-01-11,@,ATL,L,94,112,37,92,.402,8,36,.222,12,13,.923,9,50,20,2,12,9,17,,37,99,.374,17,44,.386,21,27,.778,14,58,20,7,3,8,13
12,12,2021-01-12,,MIA,W,137,134,50,102,.490,19,55,.345,18,25,.720,16,52,32,10,6,17,21,,48,104,.462,19,56,.339,19,24,.792,14,46,27,6,4,18,21
13,13,2021-01-14,,MIA,W,125,108,44,82,.537,17,37,.459,20,24,.833,5,35,27,15,3,18,22,,40,81,.494,12,34,.353,16,26,.615,9,41,28,4,1,20,19
14,14,2021-01-16,@,MEM,L,104,106,37,84,.440,7,25,.280,23,32,.719,15,53,23,5,11,22,17,,43,99,.434,8,29,.276,12,18,.667,11,43,27,15,3,11,25
15,15,2021-01-20,,BOS,W,117,109,36,78,.462,9,27,.333,36,45,.800,11,41,20,12,3,9,20,,42,89,.472,12,33,.364,13,20,.650,10,45,22,3,0,16,29
16,16,2021-01-22,,BOS,W,122,110,45,81,.556,12,28,.429,20,24,.833,10,45,23,9,7,19,23,,41,90,.456,12,30,.400,16,20,.800,10,32,23,10,5,11,21
17,17,2021-01-23,@,DET,W,114,110,38,83,.458,8,23,.348,30,38,.789,12,49,14,10,7,15,24,,37,86,.430,14,33,.424,22,30,.733,8,43,25,9,8,15,28
18,18,2021-01-25,@,DET,L,104,119,40,94,.426,9,28,.321,15,20,.750,13,36,15,12,3,9,26,,35,70,.500,17,38,.447,32,38,.842,11,47,22,6,6,18,20
19,19,2021-01-27,,LAL,W,107,106,41,85,.482,9,25,.360,16,26,.615,7,38,24,10,7,11,24,,41,86,.477,8,24,.333,16,25,.640,6,37,20,5,2,11,20
20,20,2021-01-29,@,MIN,W,118,94,39,87,.448,8,16,.500,32,38,.842,12,51,20,11,6,10,17,,35,82,.427,10,33,.303,14,18,.778,4,38,20,3,4,18,29
21,21,2021-01-31,@,IND,W,119,110,45,92,.489,8,26,.308,21,31,.677,14,44,20,9,8,12,21,,41,84,.488,10,28,.357,18,22,.818,9,41,21,6,7,17,25
22,22,2021-02-03,@,CHO,W,118,111,41,79,.519,10,24,.417,26,32,.813,10,40,23,9,6,18,21,,39,87,.448,14,37,.378,19,23,.826,10,37,28,5,4,16,22
23,23,2021-02-04,,POR,L,105,121,39,81,.481,7,27,.259,20,24,.833,8,37,19,6,3,18,15,,45,98,.459,13,31,.419,18,23,.783,19,53,17,8,5,11,18
24,24,2021-02-06,,BRK,W,124,108,48,94,.511,10,27,.370,18,22,.818,13,51,27,12,4,15,15,,39,88,.443,15,41,.366,15,17,.882,8,34,21,6,3,17,18
25,25,2021-02-09,@,SAC,W,119,111,41,85,.482,9,20,.450,28,35,.800,12,59,24,4,5,17,22,,43,99,.434,14,42,.333,11,19,.579,8,39,24,6,8,11,28
26,26,2021-02-11,@,POR,L,114,118,42,86,.488,6,27,.222,24,29,.828,11,46,20,6,5,9,20,,40,93,.430,17,38,.447,21,23,.913,15,47,15,5,2,8,21
27,27,2021-02-13,@,PHO,L,111,120,38,73,.521,7,17,.412,28,33,.848,8,35,19,7,1,13,15,,48,79,.608,10,25,.400,14,17,.824,4,32,25,8,3,13,24
28,28,2021-02-15,@,UTA,L,123,134,47,94,.500,8,23,.348,21,24,.875,12,42,19,6,4,12,21,,45,86,.523,18,45,.400,26,31,.839,7,36,18,9,4,11,18
29,29,2021-02-17,,HOU,W,118,113,39,81,.481,12,26,.462,28,32,.875,7,47,23,12,6,20,21,,42,92,.457,15,47,.319,14,18,.778,9,39,26,13,6,18,24
30,30,2021-02-19,,CHI,W,112,105,41,87,.471,7,21,.333,23,29,.793,16,53,23,5,7,15,18,,40,95,.421,7,32,.219,18,18,1.000,13,42,24,5,6,11,20
31,31,2021-02-21,@,TOR,L,103,110,33,85,.388,11,37,.297,26,35,.743,11,45,26,8,7,10,21,,40,81,.494,14,34,.412,16,18,.889,5,39,25,5,5,14,24
32,32,2021-02-23,@,TOR,W,109,102,33,80,.413,17,38,.447,26,30,.867,12,54,24,5,8,18,15,,40,93,.430,11,37,.297,11,13,.846,8,38,29,12,11,10,20
33,33,2021-02-25,,DAL,W,111,97,39,90,.433,12,29,.414,21,25,.840,8,39,26,11,6,7,19,,32,78,.410,13,34,.382,20,23,.870,10,50,17,2,9,18,21
34,34,2021-02-27,,CLE,L,109,112,38,83,.458,10,28,.357,23,35,.657,8,46,25,9,10,19,26,,41,97,.423,8,24,.333,22,29,.759,13,52,24,12,3,16,26
35,35,2021-03-01,,IND,W,130,114,50,88,.568,15,35,.429,15,16,.938,6,39,27,10,6,19,19,,44,91,.484,8,29,.276,18,21,.857,8,34,27,8,1,19,19
36,36,2021-03-03,,UTA,W,131,123,48,93,.516,8,25,.320,27,35,.771,8,50,22,9,6,11,17,,44,100,.440,21,44,.477,14,19,.737,12,52,22,7,1,16,24
37,37,2021-03-11,@,CHI,W,127,105,53,103,.515,10,33,.303,11,15,.733,13,45,25,11,7,10,16,,39,83,.470,14,29,.483,13,16,.813,8,38,26,3,6,19,19
38,38,2021-03-12,@,WAS,W,127,101,49,90,.544,11,21,.524,18,18,1.000,10,49,26,13,6,16,19,,40,82,.488,8,24,.333,13,22,.591,6,32,19,10,2,18,16
39,39,2021-03-14,,SAS,W,134,99,56,98,.571,15,29,.517,7,11,.636,13,54,35,7,7,11,27,,36,85,.424,4,21,.190,23,31,.742,10,32,20,8,10,9,13
40,40,2021-03-16,,NYK,W,99,96,37,90,.411,11,32,.344,14,19,.737,12,50,19,8,10,11,22,,37,84,.440,8,24,.333,14,22,.636,9,47,19,7,5,12,23
41,41,2021-03-17,,MIL,L,105,109,43,109,.394,14,41,.341,5,8,.625,13,59,28,14,7,20,23,,41,101,.406,9,39,.231,18,24,.750,12,58,22,11,1,22,11
42,42,2021-03-20,,SAC,W,129,105,48,86,.558,11,23,.478,22,29,.759,9,52,24,7,3,10,22,,39,85,.459,10,28,.357,17,27,.630,4,33,28,4,2,8,21
43,43,2021-03-21,@,NYK,W,101,100,38,82,.463,11,25,.440,14,23,.609,8,44,19,12,9,19,18,,38,88,.432,11,24,.458,13,23,.565,13,44,16,13,2,17,19
44,44,2021-03-23,@,GSW,W,108,98,39,86,.453,7,24,.292,23,35,.657,13,51,15,5,4,13,24,,36,83,.434,8,25,.320,18,26,.692,6,38,22,5,7,11,23
45,45,2021-03-25,@,LAL,W,109,101,39,80,.488,17,45,.378,14,21,.667,7,39,24,13,9,20,26,,34,78,.436,9,26,.346,24,33,.727,7,42,22,10,0,20,19
46,46,2021-03-27,@,LAC,L,112,122,39,77,.506,10,26,.385,24,33,.727,8,38,17,5,2,16,27,,45,85,.529,11,26,.423,21,27,.778,9,38,26,9,3,12,25
